experiment_id,date,config,change,reason,local_score,public_score,rank,submission_file,insight
local_retrieval_v1,2026-06-02,configs/local_retrieval.yaml,TF-IDF char n-gram nearest-answer retrieval,Establishes a complete local CPU baseline and valid submission workflow,0.425158,,,outputs/local_retrieval/submission.csv,Full local run completed without GPU; use as reproducible baseline before neural experiments
local_retrieval_subset_v1,2026-06-02,configs/local_retrieval_subset.yaml,Restrict retrieval candidates to matching subset/language-domain,Test whether language/domain gating improves nearest-answer retrieval,0.417419,,,outputs/local_retrieval_subset/submission.csv,Subset gating reduced validation proxy score; keep global retrieval as current best local baseline
local_retrieval_char24_v1,2026-06-02,configs/local_retrieval_char24.yaml,Switch retrieval to raw character 2-4 n-grams with sublinear TF and min_df=2,Validation sweep over 120 TF-IDF candidates found shorter raw character n-grams perform best,0.439064,,,outputs/local_retrieval_char24/submission.csv,Current best local CPU baseline; submission format validated with 2618 test rows
local_retrieval_ensemble_v1,2026-06-02,configs/local_retrieval_ensemble.yaml,Weighted voting ensemble over top TF-IDF retrieval variants,Test whether agreement between high-performing retrievers improves answer selection,0.438439,,,outputs/local_retrieval_ensemble/submission.csv,Ensemble scored slightly below single best char24 config; keep local_retrieval_char24 as current best
postprocess_trim_sweep_v1,2026-06-02,outputs/postprocess_sweep/char24_postprocess_results.csv,Validation-only sweep over max-word and first-sentence trimming,Test whether long retrieved answers are hurting ROUGE and should be shortened,0.438751,,,outputs/local_retrieval_char24/submission.csv,Best trim rule max_words=300 still underperformed no trimming at 0.439064; keep full retrieved answers
topk_length_rerank_v1,2026-06-02,outputs/rerank_sweep/length_penalty_results.csv,Validation-only top-5 candidate reranking with answer-length penalties,Test whether nearest answer should be replaced by length-calibrated alternatives,0.433016,,,outputs/local_retrieval_char24/submission.csv,Length-penalized reranking underperformed current best; top cosine similarity remains strongest local selector
local_retrieval_char13_v1,2026-06-02,configs/local_retrieval_char13.yaml,Raw character 1-3 n-gram retrieval with min_df=5 and sublinear TF,Extended local sweep over 48 candidates showed shorter character grams improve validation proxy,0.442080,,,outputs/local_retrieval_char13/submission.csv,New best local CPU retrieval candidate; 100k and 200k feature caps tied so 100k was kept for efficiency
local_retrieval_subset_tuned_v1,2026-06-02,configs/local_retrieval_subset_tuned.yaml,Subset-specific vectorizer selection over a global retrieval bank,Use validation subset deltas to route English Ghana/Kenya/Uganda through char13 and other subsets through char24,0.443746,,,outputs/local_retrieval_subset_tuned/submission.csv,New best local candidate; subset-specific config switching helped without restricting retrieval candidates
local_retrieval_subset_sweep_v1,2026-06-02,configs/local_retrieval_subset_sweep.yaml,Per-subset routing table selected from 12 retrieval candidates,Choose the highest-scoring vectorizer per validation subset while keeping a global answer bank,0.444926,,,outputs/local_retrieval_subset_sweep/submission.csv,New best local candidate; gains came from char14 for Akan/Luganda char25 for English Ethiopia and char13 for English Kenya/Uganda/Ghana
lsa_retrieval_sweep_v1,2026-06-03,outputs/lsa_sweep/results.csv,Latent semantic analysis over TF-IDF question vectors,Test whether truncated SVD semantic retrieval improves beyond lexical TF-IDF,0.415629,,,outputs/local_retrieval_subset_sweep/submission.csv,LSA underperformed the lexical subset selector; move to stronger neural retrieval or generation instead
neural_rerank_minilm_v1,2026-06-03,configs/local_retrieval_neural_rerank.yaml,TF-IDF top-10 candidate retrieval reranked by MiniLM multilingual sentence embeddings,Use lexical retrieval for recall and semantic similarity for final candidate selection,0.464291,,,outputs/local_retrieval_neural_rerank/submission.csv,New best local candidate; semantic weight 0.3 improved validation while direct MiniLM retrieval underperformed
neural_rerank_minilm_group_weights_v1,2026-06-03,configs/local_retrieval_neural_rerank.yaml,Per-subset semantic rerank weights for TF-IDF top-10 candidates,Adapt neural rerank strength by validation subset instead of using one global weight,0.471536,,,outputs/local_retrieval_neural_rerank/submission.csv,New best local candidate; English Kenya favored pure MiniLM among candidates while Swahili favored lexical-only ranking
neural_rerank_mpnet_group_weights_v1,2026-06-03,configs/local_retrieval_mpnet_rerank.yaml,MPNet multilingual embedding reranker with per-subset semantic weights,Test whether a stronger multilingual sentence encoder improves TF-IDF top-10 reranking,0.478162,,,outputs/local_retrieval_mpnet_rerank/submission.csv,New best local candidate; MPNet improved English Uganda Swahili and Luganda reranking over MiniLM
neural_rerank_mpnet_scoped_candidates_v1,2026-06-03,configs/local_retrieval_mpnet_scoped.yaml,Restrict weak-language rerank candidates to matching subset,Test whether cross-language/global retrieval errors explain weak Akan Amharic and English Ghana validation scores,0.477341,,,outputs/local_retrieval_mpnet_scoped/submission.csv,Same-subset routing slightly helped Amharic but hurt Akan and English Ghana; keep global answer bank for the best candidate
neural_rerank_mpnet_dynamic_sweep_v1,2026-06-03,configs/local_retrieval_mpnet_rerank.yaml,Dynamic per-subset sweep over MPNet top-k and semantic blend weights,Tune rerank hyperparameters from validation results instead of using fixed global settings,0.478231,,,outputs/local_retrieval_mpnet_rerank/submission.csv,Small validation gain came from increasing English Ghana semantic weight to 0.6; weak Amharic and Akan need a stronger retrieval or generation strategy
